session,list,trialNr,phrase_item,noun,adj,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_pretrain,picture_file
Pretrain,list2,1,Burg_rot,Burg,rot,13,LFP,SP,cblock,building,Burg_rot,burg_rot.png
Pretrain,list2,2,Hemd_weiss,Hemd,weiss,27,HFP,SP,cblock,clothing,Hemd_weiss,hemd_weiss.png
Pretrain,list2,3,Feder_weiss,Feder,weiss,20,HFP,SP,cblock,etc,Feder_weiss,feder_weiss.png
Pretrain,list2,4,Apfel_rot,Apfel,rot,1,HFP,SN,cblock,food,Apfel_rot,apfel_rot.png
Pretrain,list2,5,Baum_gruen,Baum,gruen,3,HFP,SP,cblock,nature,Baum_gruen,baum_gruen.png
Pretrain,list2,6,Bett_gruen,Bett,gruen,4,LFP,SN,cblock,furniture,Bett_gruen,bett_gruen.png
Pretrain,list2,7,Frau_schwarz,Frau,schwarz,23,HFP,SP,cblock,human,Frau_schwarz,frau_schwarz.png
Pretrain,list2,8,Topf_schwarz,Topf,schwarz,56,LFP,SP,cblock,tool,Topf_schwarz,topf_schwarz.png
Pretrain,list2,9,Blatt_gruen,Blatt,gruen,6,HFP,SN,cblock,nature,Blatt_gruen,blatt_gruen.png
Pretrain,list2,10,Bus_schwarz,Bus,schwarz,14,LFP,SN,cblock,transportation,Bus_schwarz,bus_schwarz.png
Pretrain,list2,11,Dach_rot,Dach,rot,15,HFP,SP,cblock,building,Dach_rot,dach_rot.png
Pretrain,list2,12,Hose_schwarz,Hose,schwarz,29,HFP,SP,cblock,clothing,Hose_schwarz,hose_schwarz.png
Pretrain,list2,13,Flagge_schwarz,Flagge,schwarz,21,HFP,SN,cblock,etc,Flagge_schwarz,flagge_schwarz.png
Pretrain,list2,14,Pflanze_rot,Pflanze,rot,45,LFP,SN,cblock,nature,Pflanze_rot,pflanze_rot.png
Pretrain,list2,15,Ei_gruen,Ei,gruen,16,LFP,SN,cblock,food,Ei_gruen,ei_gruen.png
Pretrain,list2,16,Fabrik_rot,Fabrik,rot,18,LFP,SP,cblock,building,Fabrik_rot,fabrik_rot.png
Pretrain,list2,17,Hut_schwarz,Hut,schwarz,30,HFP,SN,cblock,clothing,Hut_schwarz,hut_schwarz.png
Pretrain,list2,18,Wolke_rot,Wolke,rot,60,LFP,SN,cblock,nature,Wolke_rot,wolke_rot.png
Pretrain,list2,19,Tisch_gruen,Tisch,gruen,54,HFP,SP,cblock,furniture,Tisch_gruen,tisch_gruen.png
Pretrain,list2,20,Mauer_gruen,Mauer,gruen,40,LFP,SP,cblock,building,Mauer_gruen,mauer_gruen.png
Pretrain,list2,21,Kleid_weiss,Kleid,weiss,35,HFP,SN,cblock,clothing,Kleid_weiss,kleid_weiss.png
Pretrain,list2,22,Wueste_rot,Wueste,rot,61,LFP,SN,cblock,nature,Wueste_rot,wueste_rot.png
Pretrain,list2,23,Mann_gruen,Mann,gruen,38,LFP,SN,cblock,human,Mann_gruen,mann_gruen.png
Pretrain,list2,24,Nest_gruen,Nest,gruen,41,LFP,SP,cblock,building,Nest_gruen,nest_gruen.png
Pretrain,list2,25,Flugzeug_weiss,Flugzeug,weiss,22,LFP,SP,cblock,transportation,Flugzeug_weiss,flugzeug_weiss.png
Pretrain,list2,26,Mantel_schwarz,Mantel,schwarz,39,HFP,SP,cblock,clothing,Mantel_schwarz,mantel_schwarz.png
Pretrain,list2,27,Zeitung_schwarz,Zeitung,schwarz,62,LFP,SP,cblock,etc,Zeitung_schwarz,zeitung_schwarz.png
Pretrain,list2,28,Turm_weiss,Turm,weiss,58,LFP,SN,cblock,building,Turm_weiss,turm_weiss.png
Pretrain,list2,29,Zweig_weiss,Zweig,weiss,65,LFP,SN,cblock,nature,Zweig_weiss,zweig_weiss.png
Pretrain,list2,30,Schuh_rot,Schuh,rot,50,HFP,SP,cblock,clothing,Schuh_rot,schuh_rot.png
Pretrain,list2,31,Kaffee_schwarz,Kaffee,schwarz,31,HFP,SN,cblock,food,Kaffee_schwarz,kaffee_schwarz.png
