session,list,trialNr,phrase_item,noun,adj,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_train4,picture_file
train4,list2,35,Apfel_rot,Apfel,rot,1,HFP,SN,ncblock,food,Apfel_alt,apfel_alt.png
train4,list2,36,Bett_gruen,Bett,gruen,4,LFP,SN,ncblock,furniture,Bett_alt,bett_alt.png
train4,list2,37,Bild_alt,Bild,alt,5,HFP,SP,ncblock,furniture,Bild_alt,bild_alt.png
train4,list2,38,Brief_gross,Brief,gross,9,LFP,SP,ncblock,tool,Brief_gross,brief_gross.png
train4,list2,39,Brot_alt,Brot,alt,11,HFP,SP,ncblock,food,Brot_alt,brot_alt.png
train4,list2,40,Bus_schwarz,Bus,schwarz,14,LFP,SN,ncblock,transportation,Bus_gross,bus_gross.png
train4,list2,41,Erde_gross,Erde,gross,17,LFP,SN,ncblock,nature,Erde_alt,erde_alt.png
train4,list2,42,Flagge_schwarz,Flagge,schwarz,21,HFP,SN,ncblock,etc,Flagge_klein,flagge_klein.png
train4,list2,43,Glas_neu,Glas,neu,25,HFP,SP,ncblock,tool,Glas_neu,glas_neu.png
train4,list2,44,Haus_alt,Haus,alt,26,HFP,SP,ncblock,building,Haus_alt,haus_alt.png
train4,list2,45,Hut_schwarz,Hut,schwarz,30,HFP,SN,ncblock,clothing,Hut_alt,hut_alt.png
train4,list2,46,Kamera_gross,Kamera,gross,32,LFP,SN,ncblock,tool,Kamera_alt,kamera_alt.png
train4,list2,47,Kleid_weiss,Kleid,weiss,35,HFP,SN,ncblock,clothing,Kleid_neu,kleid_neu.png
train4,list2,48,Lampe_gross,Lampe,gross,37,LFP,SP,ncblock,furniture,Lampe_gross,lampe_gross.png
train4,list2,49,Mann_gruen,Mann,gruen,38,LFP,SN,ncblock,human,Mann_alt,mann_alt.png
train4,list2,50,Paket_gross,Paket,gross,42,HFP,SP,ncblock,etc,Paket_gross,paket_gross.png
train4,list2,51,Pfeil_gross,Pfeil,gross,44,LFP,SP,ncblock,etc,Pfeil_gross,pfeil_gross.png
train4,list2,52,Pflanze_rot,Pflanze,rot,45,LFP,SN,ncblock,nature,Pflanze_alt,pflanze_alt.png
train4,list2,53,Rock_klein,Rock,klein,47,LFP,SP,ncblock,clothing,Rock_klein,rock_klein.png
train4,list2,54,Rose_neu,Rose,neu,48,LFP,SN,ncblock,nature,Rose_alt,rose_alt.png
train4,list2,55,Schale_alt,Schale,alt,49,LFP,SP,ncblock,tool,Schale_alt,schale_alt.png
train4,list2,56,Stadion_neu,Stadion,neu,51,HFP,SP,ncblock,building,Stadion_neu,stadion_neu.png
train4,list2,57,Tasse_neu,Tasse,neu,52,LFP,SP,ncblock,tool,Tasse_neu,tasse_neu.png
train4,list2,58,Teppich_klein,Teppich,klein,53,LFP,SP,ncblock,furniture,Teppich_klein,teppich_klein.png
train4,list2,59,Tomate_neu,Tomate,neu,55,LFP,SP,ncblock,vegetable,Tomate_neu,tomate_neu.png
train4,list2,60,Tuer_neu,Tuer,neu,57,HFP,SP,ncblock,building,Tuer_neu,tuer_neu.png
train4,list2,61,Uhr_klein,Uhr,klein,59,LFP,SP,ncblock,tool,Uhr_klein,uhr_klein.png
train4,list2,62,Wolke_rot,Wolke,rot,60,LFP,SN,ncblock,nature,Wolke_alt,wolke_alt.png
train4,list2,63,Wueste_rot,Wueste,rot,61,LFP,SN,ncblock,nature,Wueste_neu,wueste_neu.png
train4,list2,64,Zelt_klein,Zelt,klein,63,HFP,SN,ncblock,building,Zelt_neu,zelt_neu.png
train4,list2,65,Zweig_weiss,Zweig,weiss,65,LFP,SN,ncblock,nature,Zweig_gross,zweig_gross.png
train4,list2,66,Zwiebel_neu,Zwiebel,neu,66,LFP,SP,ncblock,vegetable,Zwiebel_neu,zwiebel_neu.png
